seed,n_train,n_test,millor_iteracio,logloss_cv,threshold,auc_test,accuracy,sensibilitat_recerca,especificitat_no_recerca
1,91,23,135,0.3915675642819755,0.33,0.9696969696969697,0.8695652173913043,0.9166666666666666,0.8181818181818182
2,91,23,127,0.32437749185695824,0.52,0.8901515151515151,0.782608695652174,0.75,0.8181818181818182
3,91,23,174,0.37296040446513834,0.36,0.9318181818181818,0.8695652173913043,1,0.7272727272727273
4,91,23,169,0.3319380597009266,0.44,0.9053030303030303,0.8695652173913043,0.8333333333333334,0.9090909090909091
5,91,23,144,0.4186402844946856,0.56,0.9696969696969697,0.8695652173913043,0.75,1
6,91,23,122,0.3903020450125163,0.29000000000000004,0.9772727272727273,0.8260869565217391,1,0.6363636363636364
7,91,23,102,0.35209304822777343,0.34,0.9242424242424242,0.9130434782608695,1,0.8181818181818182
8,91,23,124,0.3807239862856025,0.24000000000000002,0.8712121212121212,0.8260869565217391,0.9166666666666666,0.7272727272727273
9,91,23,64,0.4085800260202886,0.41000000000000003,0.9431818181818182,0.8695652173913043,1,0.7272727272727273
10,91,23,168,0.28665914611015014,0.54,0.8143939393939393,0.8260869565217391,0.8333333333333334,0.8181818181818182
11,91,23,183,0.3245555292618902,0.26,0.8901515151515151,0.8695652173913043,0.9166666666666666,0.8181818181818182
12,91,23,111,0.403883108926926,0.54,0.9772727272727273,0.8260869565217391,0.6666666666666666,1
13,91,23,84,0.37436634462594603,0.26,0.9090909090909091,0.8260869565217391,0.9166666666666666,0.7272727272727273
14,91,23,97,0.364794264084845,0.46,0.9318181818181818,0.782608695652174,0.8333333333333334,0.7272727272727273
15,91,23,101,0.37822966025978844,0.43000000000000005,0.9507575757575758,0.9130434782608695,0.8333333333333334,1
16,91,23,135,0.3396060602140357,0.30000000000000004,0.9015151515151515,0.782608695652174,0.9166666666666666,0.6363636363636364
17,91,23,176,0.3169944560292713,0.37,0.8787878787878788,0.782608695652174,0.8333333333333334,0.7272727272727273
18,91,23,119,0.387741594221334,0.6000000000000001,0.8787878787878788,0.8260869565217391,0.8333333333333334,0.8181818181818182
19,91,23,115,0.3733591772322449,0.26,0.9242424242424242,0.8695652173913043,1,0.7272727272727273
20,91,23,217,0.32502502209741124,0.43000000000000005,0.8712121212121212,0.782608695652174,0.8333333333333334,0.7272727272727273
21,91,23,128,0.3881901927782517,0.41000000000000003,0.9583333333333334,0.8260869565217391,0.9166666666666666,0.7272727272727273
22,91,23,111,0.3707341227543325,0.55,0.928030303030303,0.8260869565217391,1,0.6363636363636364
23,91,23,195,0.33898181973539715,0.38,0.9242424242424242,0.8695652173913043,1,0.7272727272727273
24,91,23,96,0.3617377437389734,0.5900000000000001,0.8901515151515151,0.782608695652174,0.6666666666666666,0.9090909090909091
25,91,23,159,0.36342355433350415,0.47000000000000003,0.9621212121212122,0.8260869565217391,0.8333333333333334,0.8181818181818182
26,91,23,134,0.3617329877403657,0.36,0.9015151515151515,0.8695652173913043,1,0.7272727272727273
27,91,23,74,0.37926990963226437,0.55,0.9545454545454546,0.782608695652174,0.8333333333333334,0.7272727272727273
28,91,23,212,0.3284208084466554,0.4,0.9090909090909091,0.8695652173913043,0.9166666666666666,0.8181818181818182
29,91,23,121,0.3553675837836593,0.29000000000000004,0.8674242424242424,0.8260869565217391,0.8333333333333334,0.8181818181818182
30,91,23,128,0.3438998831719247,0.43000000000000005,0.9924242424242424,0.7391304347826086,0.5,1
31,91,23,131,0.33846752539233504,0.47000000000000003,0.9318181818181818,0.8695652173913043,0.9166666666666666,0.8181818181818182
32,91,23,93,0.35317435553460796,0.35,0.8825757575757576,0.8260869565217391,0.9166666666666666,0.7272727272727273
33,91,23,151,0.35225356843605726,0.44,0.875,0.8695652173913043,0.9166666666666666,0.8181818181818182
34,91,23,86,0.3601508017611444,0.5800000000000001,0.8409090909090909,0.7391304347826086,0.6666666666666666,0.8181818181818182
35,91,23,148,0.39452655519995394,0.34,0.9962121212121212,0.9565217391304348,1,0.9090909090909091
36,91,23,118,0.3628310469725968,0.4,0.9393939393939394,0.9130434782608695,0.9166666666666666,0.9090909090909091
37,91,23,95,0.3690541904893812,0.42000000000000004,0.928030303030303,0.8695652173913043,1,0.7272727272727273
38,91,23,101,0.350054271482918,0.32,0.8825757575757576,0.782608695652174,0.9166666666666666,0.6363636363636364
39,91,23,61,0.40443873927099705,0.38,0.9393939393939394,0.8695652173913043,0.9166666666666666,0.8181818181818182
40,91,23,117,0.3686663989023805,0.35,0.9393939393939394,0.8695652173913043,1,0.7272727272727273
41,91,23,106,0.3545923534810215,0.4,0.9318181818181818,0.8695652173913043,0.9166666666666666,0.8181818181818182
42,91,23,159,0.3542890212336176,0.28,0.8901515151515151,0.9130434782608695,1,0.8181818181818182
43,91,23,113,0.33575412878778826,0.36,0.8106060606060606,0.7391304347826086,0.75,0.7272727272727273
44,91,23,157,0.3462012571865442,0.32,0.9242424242424242,0.8260869565217391,0.8333333333333334,0.8181818181818182
45,91,23,91,0.40183449284531403,0.37,0.9318181818181818,0.8695652173913043,0.9166666666666666,0.8181818181818182
46,91,23,105,0.3546917814447435,0.44,0.8939393939393939,0.8260869565217391,0.75,0.9090909090909091
47,91,23,110,0.39290422601301744,0.51,0.9772727272727273,0.9130434782608695,1,0.8181818181818182
48,91,23,96,0.41663514602420604,0.51,0.9696969696969697,0.8695652173913043,0.75,1
49,91,23,84,0.39572775655204706,0.41000000000000003,0.9128787878787878,0.8695652173913043,0.9166666666666666,0.8181818181818182
50,91,23,102,0.4022968435704216,0.32,0.9242424242424242,0.9130434782608695,0.9166666666666666,0.9090909090909091
51,91,23,140,0.36921302719662585,0.30000000000000004,0.8939393939393939,0.782608695652174,0.8333333333333334,0.7272727272727273
52,91,23,130,0.3961389296692305,0.44,0.9924242424242424,0.9565217391304348,1,0.9090909090909091
53,91,23,92,0.42518608487148046,0.44,0.9356060606060606,0.8695652173913043,0.9166666666666666,0.8181818181818182
54,91,23,122,0.36742735194836207,0.33,0.9393939393939394,0.8260869565217391,0.8333333333333334,0.8181818181818182
55,91,23,89,0.4263060323266094,0.45,0.9772727272727273,0.9130434782608695,0.9166666666666666,0.9090909090909091
56,91,23,102,0.34200777903335033,0.42000000000000004,0.8825757575757576,0.9130434782608695,0.9166666666666666,0.9090909090909091
57,91,23,201,0.3993469743598874,0.30000000000000004,0.9090909090909091,0.782608695652174,0.6666666666666666,0.9090909090909091
58,91,23,161,0.28200172626294545,0.37,0.6893939393939394,0.6086956521739131,0.6666666666666666,0.5454545454545454
59,91,23,64,0.4219906090926296,0.30000000000000004,0.9507575757575758,0.8695652173913043,1,0.7272727272727273
60,91,23,93,0.3975533938821562,0.4,0.9621212121212122,0.9130434782608695,0.8333333333333334,1
61,91,23,99,0.4000141512079719,0.32,0.9696969696969697,0.9565217391304348,0.9166666666666666,1
62,91,23,121,0.4107539519982872,0.5900000000000001,0.9393939393939394,0.8695652173913043,0.8333333333333334,0.9090909090909091
63,91,23,119,0.3555928565097872,0.44,0.8939393939393939,0.7391304347826086,0.8333333333333334,0.6363636363636364
64,91,23,150,0.3503981538457167,0.27,0.8939393939393939,0.8260869565217391,0.9166666666666666,0.7272727272727273
65,91,23,67,0.4164744567322104,0.56,0.9886363636363636,0.8695652173913043,1,0.7272727272727273
66,91,23,115,0.3020989837617677,0.34,0.8484848484848485,0.7391304347826086,0.9166666666666666,0.5454545454545454
67,91,23,168,0.34826065067972023,0.36,0.928030303030303,0.8695652173913043,0.8333333333333334,0.9090909090909091
68,91,23,239,0.319498393229857,0.66,0.9090909090909091,0.8260869565217391,0.8333333333333334,0.8181818181818182
69,91,23,115,0.3323361873811884,0.32,0.9204545454545454,0.8695652173913043,0.8333333333333334,0.9090909090909091
70,91,23,124,0.3793286474244134,0.42000000000000004,0.9166666666666666,0.8260869565217391,0.8333333333333334,0.8181818181818182
71,91,23,156,0.39918035000388385,0.43000000000000005,0.9772727272727273,0.9130434782608695,1,0.8181818181818182
72,91,23,109,0.3653687751454394,0.62,0.9128787878787878,0.6956521739130435,0.5,0.9090909090909091
73,91,23,113,0.36980789105533163,0.6100000000000001,0.8522727272727273,0.782608695652174,0.8333333333333334,0.7272727272727273
74,91,23,153,0.3573911567992942,0.35,0.9545454545454546,0.8695652173913043,0.9166666666666666,0.8181818181818182
75,91,23,80,0.3762939737393996,0.45,0.8409090909090909,0.8695652173913043,1,0.7272727272727273
76,91,23,91,0.4336871624123632,0.45,0.9734848484848485,0.9130434782608695,0.9166666666666666,0.9090909090909091
77,91,23,95,0.38444630423881754,0.44,0.9318181818181818,0.8695652173913043,0.9166666666666666,0.8181818181818182
78,91,23,72,0.4362652072563158,0.48000000000000004,0.9848484848484849,0.8695652173913043,0.9166666666666666,0.8181818181818182
79,91,23,104,0.3361628240547846,0.47000000000000003,0.8409090909090909,0.7391304347826086,0.8333333333333334,0.6363636363636364
80,91,23,141,0.3814965244914438,0.38,0.9166666666666666,0.8695652173913043,1,0.7272727272727273
81,91,23,107,0.3667980550891824,0.25,0.9318181818181818,0.8695652173913043,1,0.7272727272727273
82,91,23,114,0.3465044184816962,0.43000000000000005,0.9015151515151515,0.7391304347826086,0.5,1
83,91,23,105,0.38736961555142135,0.38,0.8522727272727273,0.8260869565217391,1,0.6363636363636364
84,91,23,93,0.3591542986771691,0.26,0.9204545454545454,0.8695652173913043,1,0.7272727272727273
85,91,23,85,0.3679011622458532,0.43000000000000005,0.946969696969697,0.8695652173913043,0.8333333333333334,0.9090909090909091
86,91,23,84,0.40651797644401844,0.46,0.9204545454545454,0.9130434782608695,0.9166666666666666,0.9090909090909091
87,91,23,115,0.37301477618646206,0.35,0.9431818181818182,0.9130434782608695,1,0.8181818181818182
88,91,23,117,0.4014817194091134,0.48000000000000004,0.9545454545454546,0.9130434782608695,1,0.8181818181818182
89,91,23,103,0.3990497345536035,0.34,0.9659090909090909,0.8695652173913043,0.9166666666666666,0.8181818181818182
90,91,23,60,0.4498126693374928,0.42000000000000004,0.9734848484848485,0.9130434782608695,1,0.8181818181818182
91,91,23,205,0.3568575191668753,0.37,0.8939393939393939,0.8260869565217391,0.8333333333333334,0.8181818181818182
92,91,23,80,0.4682993224271906,0.31,1,0.9565217391304348,1,0.9090909090909091
93,91,23,159,0.3843531617644237,0.36,0.9393939393939394,0.9130434782608695,0.9166666666666666,0.9090909090909091
94,91,23,120,0.35458152519630626,0.34,0.9318181818181818,0.9130434782608695,0.8333333333333334,1
95,91,23,152,0.35312682869054424,0.35,0.9204545454545454,0.9130434782608695,1,0.8181818181818182
96,91,23,117,0.43533006094865134,0.44,1,1,1,1
97,91,23,137,0.2891281652493363,0.33,0.821969696969697,0.7391304347826086,0.6666666666666666,0.8181818181818182
98,91,23,171,0.38100126838823506,0.35,0.9356060606060606,0.8260869565217391,0.9166666666666666,0.7272727272727273
99,91,23,94,0.396721591745988,0.38,1,0.9130434782608695,1,0.8181818181818182
100,91,23,196,0.37504197546688756,0.49,0.9545454545454546,0.8260869565217391,0.9166666666666666,0.7272727272727273
